YEAR,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,ANNUAL
1924,105.7,92.9,91.2,307.2,334.4,191.8,90.9,100.4,127.9,180.1,77.2,186.3,1886
1925,54.6,82.7,30.2,34.6,143.4,209.9,118.5,91.6,141.4,78.6,83.4,45.6,1114.5
1926,143.2,80.4,86.8,48.2,372.5,163.3,88.7,155.4,89.3,180.8,199.3,212.7,1820.6
1927,33.1,119.8,140.7,137.6,138.4,172.2,240.5,209,157.5,65,48.9,33.7,1496.4
1928,4.4,69.1,112.4,94.9,292.4,134.4,236.2,99.5,233.8,135.4,39.6,132.3,1584.4
1929,48,14.9,149.7,142.9,100.9,153.2,203.2,155,72.9,121.8,206.7,117.5,1486.7
1930,158.4,173.9,8,69,78,103,105.5,95.4,147.2,187.6,88.2,32.8,1247
1931,142.3,60.2,27,223.6,85.8,139.9,191.3,98.1,145.3,81.5,59.6,87.7,1342.3
1932,50.6,171.3,124.4,129.8,97.7,128.8,157.5,66.5,88.8,153.4,39.9,93.2,1301.9
1933,50,205.2,60.1,80.5,232.9,94.7,150.2,109.2,152.3,87.4,72.2,49,1343.7
1934,78.9,251.5,48.1,114.6,156.5,209.9,162.9,79.6,65.9,53.4,65.9,65.8,1353
1935,27.5,253.2,191,115.7,127.7,236.5,269.6,165.7,57,115.7,163.3,71.3,1794.2
1936,155,288.9,72.2,111.1,43.5,107.6,150.2,257.8,105.6,83.4,140.2,100.7,1616.2
1937,135,53.6,104.7,109.1,235.9,199.5,185.6,40.2,127.6,51.6,109.2,78.6,1430.6
1938,166.9,269.4,17.4,138.9,170.6,157,322.1,180.8,78,48.1,113.7,126.2,1789.1
1939,211.6,24.7,5.4,150.2,29.1,230.5,286.7,170.2,138.3,98.1,100.9,133.8,1579.5
1940,233.3,103.8,51.5,148.8,161,86.1,62,73.1,80.3,100,107,62.6,1269.5
1941,141.6,41.2,189,47.3,53.1,201.2,176.5,177.8,66.6,208.2,114.9,100.3,1517.7
1942,30.2,24,53.1,83.2,151.6,27.5,174.6,163.1,140.6,102.7,66.1,,
1943,,66.2,19.2,81.8,66.2,246.4,148.2,138.3,193.9,83.4,74,39.7,
1944,47.6,136.9,126.8,155.8,70,192.5,111.8,138.6,55,225.2,43.2,148.6,1452
1945,192.4,172.6,99.6,104.7,226,114.8,123.5,130.1,107.2,109.4,17.1,62.6,1460
1946,34.7,13.3,120.2,138,189.7,102.2,185.5,228.1,132.2,118,163.8,95.3,1521
1947,76.5,38.4,133.4,208.1,71.6,236.4,247.5,120.5,132.7,90.9,79.1,74,1509.1
1948,74,37.4,119.2,150.3,229,128,260.7,97.9,106.1,217.8,195.1,73.6,1689.1
1949,79.8,112,71.3,131.7,185.2,155.7,132.2,91.2,52.2,82.9,90.9,128.5,1313.6
1950,25.2,84.7,30.7,129.3,71.2,216.9,61.5,108.9,45,154.2,189.7,86.6,1203.9
1951,87.3,100.3,49.9,174.5,108.6,103.3,164.3,230.4,20.6,119.5,144.9,67.9,1371.5
1952,89,190.7,33.8,65.7,123.2,169.5,115.1,175.6,94.5,128.7,218.2,82.6,1486.6
1953,141,58.6,80.4,155.6,233.8,233.5,194.9,252.6,54.4,84.5,57.5,68.8,1615.6
1954,11.8,48.4,373,145.5,296.7,112.1,147.9,159.7,88.8,55.1,47.9,91.5,1578.4
1955,49,33.1,145.8,66.3,124.7,196.1,94.9,96.2,116.3,160.6,104.7,104.2,1291.9
1956,146.1,124.5,32.2,338.9,152.7,333.5,207.8,228.9,158.1,203.6,99.7,154.2,2180.2
1957,13.5,31.9,102.9,50.8,176.6,100.8,84.7,112.7,68.4,177.1,96,65,1080.4
1958,37.1,246.5,57.3,63.2,197,59,207.9,95.9,138,124.6,254,233.8,1714.3
1959,167.4,122.5,105.4,196.7,161.7,61.9,178.3,141.8,80.7,113.8,46.7,126,1502.9
1960,25.7,233,85.6,133,150.1,191.1,163.6,89.5,205.6,109.4,86.8,97,1570.4
1961,98.3,51,44,115.7,129.1,352.9,214.2,158.4,130.2,147.4,43,51.3,1535.5
1962,45,54.4,173.4,162.2,225.7,217.9,161.2,157.3,121.8,215.7,120.3,93,1747.9
1963,73.9,133.4,120.2,105.4,98.2,162.4,146.8,70.7,134.1,32.4,101.6,75.4,1254.5
1964,84.2,31.4,101.2,62.4,192.4,158.6,230.9,214.5,162.8,137.6,124.3,120.1,1620.4
1965,156.5,135.3,166.7,119.3,161.6,165.1,175.4,324.9,57.4,97.2,89.2,103.5,1752.1
1966,153.7,273,53.8,96.6,147.5,155.7,147.5,115.9,118.9,46.2,104.8,41.3,1454.9
1967,106.8,249.1,94.6,58.5,83.1,45.7,94.4,136.8,139.4,33.7,284.9,98.7,1425.7
1968,67.4,63.6,65,318.5,204.9,201.5,124.1,211.3,108.6,130.5,69.6,108.6,1673.6
1969,81.8,210.6,19.7,141,163.5,154.9,80.9,128.4,119,47.8,68.3,160,1375.9
1970,50.5,20.3,97.6,74.9,161.3,166,180.8,280.5,177,160.8,85.3,48.5,1503.5
1971,96.6,123.5,61.7,97,107.3,139.4,166.1,182.5,174.6,122.3,70.5,141,1482.5
1972,38.9,27.9,178.7,148.1,150,153.9,146.3,116.6,80,110,55,26.8,1232.2
1973,46.6,4,125,76.4,93,158.3,115.7,154.8,173.6,52.5,108.6,25.5,1134
1974,21.7,16.9,37.8,111,81.2,128.7,153.4,103.2,110,62.2,15,77.1,918.2
1975,179.5,55.5,130.6,114,107.6,227.6,114.3,115.7,115.6,110.8,153.4,60.5,1485.1
1976,206.1,37.4,31.3,124.9,87.9,130.7,169.9,150.8,157.9,73.4,81.3,123.4,1375
1977,91.4,23.7,41.5,87.2,180.3,136.2,170.7,59,64.5,125.1,70.9,155.7,1206.2
1978,33.9,131.8,56.9,156.8,80.5,138.5,210.9,103.1,106.5,42.6,123.8,154.9,1340.2
1979,,190.3,126.5,117.4,87.8,202.8,247,128.6,120.4,136.8,106.6,115.9,
1980,113.1,122.7,146.2,98.9,78.8,145.3,162.5,84.8,91,38.9,172.1,92,1346.3
1981,58.6,54.7,55.8,159.3,80.2,197.8,157.6,166.2,133.2,68,106.5,72.6,1310.5
1982,37.8,104.6,78.6,160.2,71.2,70.5,119.9,45.3,90,88.8,21.3,84.7,972.9
1983,58.2,23.7,47.2,133.4,72.1,158.8,74.9,64.6,107,188.5,37.7,165,1131.1
1984,112.7,62.4,175,56.5,108.6,87.7,166.8,132.3,119.6,23.5,107.8,152.3,1305.2
1985,98.5,110.9,143.6,89.9,180.1,117.5,227,150.5,83.8,45.1,145.7,123,1515.6
1986,183.9,112,46,58.1,89.7,134.7,193.5,187.3,99,129.7,46.9,41,1321.8
1987,119.4,19.2,84.6,,12.6,,,,,,,,
